Voltage	Current	
V	A	
	Device Scan 1	
0.0	1.66655e-11	
0.0224489795918	1.29048e-09	
0.0448979591837	3.16315e-09	
0.0673469387755	6.2843e-09	
0.0897959183673	1.13627e-08	
0.112244897959	1.96128e-08	
0.134693877551	3.31126e-08	
0.157142857143	5.51684e-08	
0.179591836735	9.5493e-08	
0.202040816327	1.54245e-07	
0.224489795918	2.51356e-07	
0.24693877551	4.16546e-07	
0.269387755102	6.9242e-07	
0.291836734694	1.15279e-06	
0.314285714286	1.9306e-06	
0.336734693878	3.23828e-06	
0.359183673469	5.40312e-06	
0.381632653061	8.91204e-06	
0.404081632653	1.44122e-05	
0.426530612245	2.25037e-05	
0.448979591837	3.36559e-05	
0.471428571429	4.8139e-05	
0.49387755102	6.58226e-05	
0.516326530612	8.65049e-05	
0.538775510204	0.000109744	
0.561224489796	0.000135237	
0.583673469388	0.000162694	
0.60612244898	0.000191659	
0.628571428571	0.000222017	
0.651020408163	0.000253673	
0.673469387755	0.000286208	
0.695918367347	0.000319809	
0.718367346939	0.000354009	
0.740816326531	0.00038875	
0.763265306122	0.00042395	
0.785714285714	0.000460058	
0.808163265306	0.00049617	
0.830612244898	0.000532793	
0.85306122449	0.000569761	
0.875510204082	0.000606428	
0.897959183673	0.000643	
0.920408163265	0.000680649	
0.942857142857	0.000718589	
0.965306122449	0.000757803	
0.987755102041	0.000797496	
1.01020408163	0.000836873	
1.03265306122	0.000875773	
1.05510204082	0.000916017	
1.07755102041	0.000955667	
1.1	0.000995423	
-0.0	-1.15931e-10	
-0.0224489795918	-7.78961e-10	
-0.0448979591837	-1.26767e-09	
-0.0673469387755	-1.64104e-09	
-0.0897959183673	-1.90178e-09	
-0.112244897959	-2.06989e-09	
-0.134693877551	-2.25404e-09	
-0.157142857143	-2.36951e-09	
-0.179591836735	-2.45508e-09	
-0.202040816327	-2.60938e-09	
-0.224489795918	-2.651e-09	
-0.24693877551	-2.714e-09	
-0.269387755102	-2.82204e-09	
-0.291836734694	-2.89608e-09	
-0.314285714286	-2.4174e-09	
-0.336734693878	-3.03531e-09	
-0.359183673469	-3.03594e-09	
-0.381632653061	-3.06448e-09	
-0.404081632653	-3.04383e-09	
-0.426530612245	-3.11471e-09	
-0.448979591837	-3.19881e-09	
-0.471428571429	-3.2867e-09	
-0.49387755102	-3.27226e-09	
-0.516326530612	-3.31788e-09	
-0.538775510204	-3.3686e-09	
-0.561224489796	-3.36229e-09	
-0.583673469388	-3.45001e-09	
-0.60612244898	-3.49553e-09	
-0.628571428571	-3.46068e-09	
-0.651020408163	-3.54964e-09	
-0.673469387755	-3.59797e-09	
-0.695918367347	-3.56108e-09	
-0.718367346939	-3.6463e-09	
-0.740816326531	-3.69123e-09	
-0.763265306122	-3.64505e-09	
-0.785714285714	-3.71647e-09	
-0.808163265306	-3.75845e-09	
-0.830612244898	-3.72331e-09	
-0.85306122449	-3.78653e-09	
-0.875510204082	-3.81062e-09	
-0.897959183673	-3.78737e-09	
-0.920408163265	-3.84126e-09	
-0.942857142857	-3.87388e-09	
-0.965306122449	-3.86555e-09	
-0.987755102041	-3.96967e-09	
-1.01020408163	-3.93364e-09	
-1.03265306122	-3.96837e-09	
-1.05510204082	-4.00572e-09	
-1.07755102041	-4.02172e-09	
-1.1	-4.04179e-09	
